source,target,km,days,expense,type,BREED
50114,50738,17.144,0.571,0.6,road,routes
50115,50096,122.205,1.018,0.415,fastdown,routes
50115,50142,185.679,6.189,6.499,road,routes
50115,50242,109.701,3.657,3.84,road,routes
50116,50228,99.544,3.318,3.484,road,routes
50116,50420,65.987,2.2,2.31,road,routes
50117,50129,9.099,0.125,0.012,ferry,routes
50117,50272,83.286,2.776,2.915,road,routes
50118,50259,34.127,1.138,1.194,road,routes
50118,50359,75.061,2.502,2.627,road,routes
50118,50737,22.972,0.766,0.804,road,routes
50119,50155,74.594,1.148,0.254,downstream,routes
50119,50275,280.885,5.618,1.91,fastup,routes
50119,50355,197.967,6.599,6.929,road,routes
50119,50364,238.226,4.765,1.62,fastup,routes
50120,50135,90.542,3.018,3.169,road,routes
50120,50329,68.887,2.296,2.411,road,routes
50120,50384,149.943,4.998,5.248,road,routes
50120,50385,104.939,3.498,3.673,road,routes
50121,50088,415.586,2.19,0.219,coastal,routes
50121,50156,654.238,4.526,0.453,overseas,routes
50121,50210,90.609,1.812,0.616,fastup,routes
50121,50252,182.239,6.075,6.378,road,routes
50121,50462,828.833,5.536,0.554,coastal,routes
50121,50464,521.843,3.279,0.328,overseas,routes
50122,50043,52.586,1.753,1.84,road,routes
50122,50425,43.476,1.449,1.522,road,routes
50123,50297,155.424,5.181,5.44,road,routes
50124,50459,105.848,2.117,0.72,fastup,routes
50124,50468,182.013,2.8,0.619,downstream,routes
50124,50752,98.779,3.293,3.457,road,routes
50125,50012,130.962,2.619,0.891,fastup,routes
50125,50238,228.941,3.522,0.778,downstream,routes
50126,50095,108.678,3.623,3.804,road,routes
50126,50253,232.551,7.752,8.139,road,routes
50127,50137,148.756,4.959,5.206,road,routes
50127,50251,41.707,1.39,1.46,road,routes
50128,50082,178.071,5.936,6.232,road,routes
50128,50721,114.057,3.802,3.992,road,routes
50129,50117,9.099,0.125,0.012,ferry,routes
50129,50146,275.04,9.168,9.626,road,routes
50129,50200,410.787,9.953,0.995,overseas,routes
50129,50272,95.65,0.361,0.036,coastal,routes
50129,50301,100.391,0.653,0.065,coastal,routes
50129,50430,237.197,8.772,0.877,coastal,routes
50129,50612,127.135,0.762,0.076,coastal,routes
50129,50617,32.669,7.328,0.733,coastal,routes
50130,50070,379.098,12.637,13.268,road,routes
50130,50150,43.768,0.673,0.298,upstream,routes
50130,50218,141.41,4.714,4.949,road,routes
50130,50262,170.227,5.674,5.958,road,routes
50130,50321,152.233,1.522,0.518,downstream,routes
50130,50677,166.669,5.556,5.833,road,routes
50131,50111,112.259,3.742,3.929,road,routes
50131,50199,179.656,2.764,0.611,downstream,routes
50132,50010,70.188,2.34,2.457,road,routes
50132,50015,38.851,1.295,1.36,road,routes
50132,50205,17.927,0.598,0.627,road,routes
50133,50160,138.849,4.628,4.86,road,routes
50133,50240,64.738,2.158,2.266,road,routes
50133,50471,37.407,0.312,0.127,fastdown,routes
50134,50286,131.662,0.895,0.09,coastal,routes
50134,50307,195.869,1.577,0.158,coastal,routes
50134,50327,126.445,4.215,4.426,road,routes
50134,50761,104.54,0.948,0.095,coastal,routes
50135,50120,90.542,3.018,3.169,road,routes
50135,50362,34.038,1.135,1.191,road,routes
